source,target,weight
Cdx2,S100g,1
Cdx2,Ifne,1
Cdx2,Slc46a1,1
Cdx2,Cdx4,1
Cdx2,Mep1a,1
Cdx2,Ccnd1,-1
Cdx2,Glb1,1
Cdx2,Cdkn2a,-1
Cdx2,Lct,1
Cdx2,Alpi,1
Cdx2,Igfbp3,-1
Cdx2,Cdh17,1
Cdx2,Slc5a1,1
Cdx2,Gstp1,1
Cdx2,Reg4,1
Cdx2,Slc5a8,1
Cdx2,Cftr,1
Cdx2,Dsc2,1
Cdx2,Cldn2,1
Cdx2,Ugt2b7,1
Cdx2,Tap1,1
Cdx2,Mok,1
Cdx2,Muc2,1
Cdx2,Dpp4,1
Cdx2,Psmb9,1
Cdx2,Gcg,1
Cdx2,Hbegf,1
Cdx2,Heph,1
Cdx2,Vil1,1
Cdx2,Vdr,1
Cdx2,Muc17,1
Cdx2,Ca1,1
Cdx2,Si,1
Cdx2,Sp1,1
Cdx2,Gsk3b,1
Cdx2,Gspt1,1
Cdx2,Gucy2c,1
Cdx2,Cdx1,-1
Cdx2,Ptgs2,-1
Cdx2,Acat2,1
Cebpa,Ltf,1
Cebpa,Edn1,-1
Cebpa,F9,1
Cebpa,Slc46a1,1
Cebpa,Adh1b,1
Cebpa,Fabp1,-1
Cebpa,Gnai2,1
Cebpa,Alb,1
Cebpa,Mc5r,1
Cebpa,Elane,1
Cebpa,Acat1,1
Cebpa,Pax5,-1
Cebpa,Pparg,1
Cebpa,Csf2,1
Cebpa,Bcl2,-1
Cebpa,Dgat2,1
Cebpa,Smarca2,1
Cebpa,Igfbp5,1
Cebpa,Cyp19a1,1
Cebpa,Fn1,1
Cebpa,Icam1,1
Cebpa,Il10,1
Cebpa,Jun,-1
Cebpa,Arg1,1
Cebpa,Il24,-1
Cebpa,Nf1,1
Cebpa,Hnf4a,1
Cebpa,Tnf,-1
Cebpa,Onecut1,-1
Cebpa,Psg6,1
Cebpa,Afp,1
Cebpa,Il6,1
Cebpa,Ctnna1,-1
Cebpa,Scgb1a1,1
Cebpa,Foxa2,1
Cebpa,Star,1
Cebpa,Cop1,1
Cebpa,Osr2,1
Cebpa,Cftr,1
Cebpa,Trib2,-1
E2f1,Skp2,1
E2f1,Chek1,1
E2f1,Lhx2,1
E2f1,Nrip1,1
E2f1,Pmaip1,1
E2f1,Bmp4,1
E2f1,Foxo1,1
E2f1,Cryaa,1
E2f1,Pdpn,1
E2f1,Fgfr1,1
E2f1,Dlk1,1
E2f1,Hmgn2,1
E2f1,Ctsv,1
E2f1,Igf2,1
E2f1,Chek2,1
E2f1,Yy1,-1
E2f1,Ezh2,1
E2f1,Diablo,1
E2f1,Il1b,1
E2f1,Wrap73,1
E2f1,Dram1,1
E2f1,Pdgfra,1
E2f1,Fshr,1
E2f1,Ulk1,1
E2f1,Siah1,1
E2f1,Atg7,1
E2f1,Alg5,1
E2f1,Jun,1
E2f1,Pole3,1
E2f1,Oaz2,1
E2f1,Cdkn1c,1
E2f1,Casp7,1
E2f1,Mcm10,1
E2f1,Dyrk1a,1
E2f1,Atg5,1
E2f1,Top1,1
E2f1,Kcna3,1
E2f1,Map3k5,1
E2f1,Eif2ak2,1
E2f1,Pola1,1
Ezh2,Mapk8,1
Ezh2,Il4,1
Ezh2,Dlg4,1
Ezh2,Bcl2,1
Ezh2,Igf1,1
Ezh2,Tnf,-1
Ezh2,Pten,1
Ezh2,Hoxc12,1
Ezh2,Gata3,-1
Ezh2,Hoxd13,1
Ezh2,Satb1,-1
Ezh2,Thop1,1
Ezh2,Vdr,1
Ezh2,Pcna,1
Ezh2,Cdk4,1
Ezh2,Kifbp,1
Ezh2,Krt27,1
Ezh2,Il17f,1
Ezh2,Myog,1
Ezh2,Lmx1a,1
Ezh2,Gpr26,1
Ezh2,Evx2,1
Ezh2,Znf423,1
Ezh2,Cdkn2a,-1
Ezh2,Ciita,-1
Ezh2,Fbxo32,-1
Ezh2,Sfrp1,1
Ezh2,Rassf1,1
Ezh2,Twist1,-1
Ezh2,Tbx21,1
Ezh2,Kpnb1,1
Ezh2,Nme1,1
Ezh2,Gap43,1
Ezh2,Sox17,1
Ezh2,Setdb1,1
Ezh2,Cd4,1
Ezh2,Sstr1,-1
Ezh2,Hoxc9,1
Ezh2,Hoxd3,1
Ezh2,Dkk1,1
Foxa2,Wnt7b,1
Foxa2,Samhd1,1
Foxa2,Onecut1,1
Foxa2,Sftpb,1
Foxa2,St18,-1
Foxa2,Hoxb3,1
Foxa2,Il5,1
Foxa2,Ttr,1
Foxa2,Th,1
Foxa2,Tat,1
Foxa2,En1,1
Foxa2,Gli2,1
Foxa2,Pck1,1
Foxa2,Col18a1,1
Foxa2,Cebpa,1
Foxa2,G6pc2,1
Foxa2,Hnf4a,1
Foxa2,Slc5a5,1
Foxa2,Ifng,1
Foxa2,Fto,-1
Foxa2,Pth,1
Foxa2,Adh1a,1
Foxa2,Pdx1,1
Foxa2,Mlxipl,1
Foxa2,Aqp9,1
Foxa2,Pax6,-1
Foxa2,Muc2,1
Foxa2,Serpinc1,-1
